epoch,train_loss,test_loss,acc1,acc5,unfrozen_neurons,total_params,unfrozen_params,epoch_time
1,2.0394413471221924,1.6468617916107178,37.45000076293945,89.06999969482422,17066,2202570,2202570,53.38708472251892
2,1.5386523008346558,1.434467077255249,48.13999938964844,92.19999694824219,17066,2202570,2202570,51.110610246658325
3,1.334891676902771,1.2971676588058472,53.69999694824219,94.0,17066,2202570,2202570,51.50425052642822
4,1.1432499885559082,1.0433828830718994,63.34000015258789,95.91999816894531,17066,2202570,2202570,51.9826283454895
5,0.9928672313690186,1.1353950500488281,62.029998779296875,95.23999786376953,17066,2202570,2202570,52.03134822845459
6,0.8796424269676208,0.9022462964057922,69.08000183105469,97.72000122070312,17066,2202570,2202570,51.96307992935181
7,0.773361086845398,0.7574397325515747,73.9000015258789,98.25,17066,2202570,2202570,52.09245753288269
8,0.6972314119338989,0.7620938420295715,74.18999481201172,98.15999603271484,17066,2202570,2202570,51.81914663314819
9,0.6453083753585815,0.6419140696525574,77.86000061035156,98.6500015258789,17063,2202570,2199866,51.88160490989685
10,0.6118061542510986,0.669707179069519,77.37999725341797,98.68999481201172,17039,2202570,2198871,51.95388603210449
11,0.5613465905189514,0.5967267751693726,79.7699966430664,98.66999816894531,16749,2202570,2156710,53.982627391815186
12,0.4893704652786255,0.5915007591247559,80.0,98.97000122070312,8616,2202570,1252175,54.111900091171265
13,0.41902029514312744,0.46868079900741577,84.54000091552734,99.2699966430664,1337,2202570,349227,50.14811372756958
14,0.39712730050086975,0.47266286611557007,83.79000091552734,99.32999420166016,788,2202570,203355,49.09862780570984
15,0.3883248269557953,0.44145429134368896,84.93999481201172,99.43000030517578,502,2202570,94407,47.44575548171997
16,0.37661635875701904,0.45381221175193787,84.83000183105469,99.38999938964844,533,2202570,111275,51.42789268493652
17,0.37627723813056946,0.46483585238456726,84.33000183105469,99.27999877929688,553,2202570,94141,51.793663024902344
18,0.3742298483848572,0.44560298323631287,84.69999694824219,99.3499984741211,601,2202570,100738,51.65563678741455
19,0.36589476466178894,0.4401055574417114,84.93999481201172,99.41999816894531,525,2202570,138050,51.15196895599365
20,0.36160340905189514,0.4535704255104065,84.47000122070312,99.29000091552734,497,2202570,110288,51.02505922317505
21,0.3599604368209839,0.4493931233882904,84.83000183105469,99.36000061035156,507,2202570,121398,51.927594900131226
22,0.36139893531799316,0.4608714282512665,84.5199966430664,99.38999938964844,511,2202570,94321,51.91282820701599
23,0.3782956600189209,0.45853689312934875,84.47000122070312,99.27999877929688,668,2202570,143114,52.31102681159973
24,0.36418044567108154,0.48869723081588745,83.38999938964844,99.22000122070312,585,2202570,120116,52.45184803009033
25,0.3679482936859131,0.47797319293022156,83.6199951171875,99.30999755859375,614,2202570,123343,52.71649217605591
26,0.35954323410987854,0.4452984035015106,85.05999755859375,99.33999633789062,636,2202570,127424,51.30216693878174
27,0.3620503842830658,0.44078707695007324,85.4000015258789,99.37999725341797,604,2202570,138046,48.630767583847046
28,0.363584965467453,0.45442748069763184,85.37999725341797,99.1500015258789,608,2202570,124176,48.82293105125427
29,0.359145849943161,0.44983434677124023,85.08999633789062,99.25999450683594,606,2202570,125042,48.37579298019409
30,0.3554520606994629,0.4889959990978241,83.8699951171875,99.48999786376953,593,2202570,129788,48.80887031555176
31,0.36730140447616577,0.4408949613571167,85.08999633789062,99.44999694824219,715,2202570,152812,49.28757643699646
32,0.38723960518836975,0.474741131067276,84.18999481201172,99.27999877929688,919,2202570,179089,53.0733003616333
33,0.37426701188087463,0.4554656744003296,84.47000122070312,99.36000061035156,834,2202570,166867,53.1182587146759
34,0.3654934763908386,0.4484877288341522,84.79999542236328,99.38999938964844,751,2202570,155436,52.91534209251404
35,0.37069353461265564,0.44204044342041016,85.4000015258789,99.37999725341797,765,2202570,149370,53.139599323272705
36,0.36622971296310425,0.48108363151550293,83.68000030517578,99.33999633789062,743,2202570,148300,53.0651741027832
