epoch,train_loss,test_loss,acc1,acc5,unfrozen_neurons,total_params,unfrozen_params,epoch_time
1,1.483910322189331,0.8378520607948303,71.43999481201172,97.68000030517578,8533,2202570,1106835,55.299174308776855
2,0.6570163369178772,0.5210738182067871,82.08999633789062,99.2699966430664,8533,2202570,1095745,53.27573871612549
3,0.4766788184642792,0.41397249698638916,85.63999938964844,99.56999969482422,8533,2202570,1106835,53.19076466560364
4,0.4005592167377472,0.3575115203857422,87.62999725341797,99.5999984741211,8533,2202570,1095745,53.216182231903076
5,0.35499101877212524,0.3316270112991333,88.65999603271484,99.70999908447266,8533,2202570,1095745,52.854825019836426
6,0.32556408643722534,0.32095983624458313,89.0,99.6199951171875,8533,2202570,1095745,53.2330961227417
7,0.3064940869808197,0.30841654539108276,89.37999725341797,99.75,8533,2202570,1106835,52.745290756225586
8,0.2834949493408203,0.3084823787212372,89.38999938964844,99.75,8533,2202570,1106835,52.666476249694824
9,0.2692739963531494,0.3074091076850891,89.43000030517578,99.75,8533,2202570,1095745,52.385711431503296
10,0.2584269642829895,0.2794792354106903,90.04999542236328,99.7699966430664,8533,2202570,1106835,49.753223180770874
11,0.24055980145931244,0.2846663296222687,89.90999603271484,99.80999755859375,8533,2202570,1095745,50.834829568862915
12,0.22438831627368927,0.3103122115135193,89.69999694824219,99.72999572753906,8533,2202570,1095745,53.61564517021179
13,0.2145058810710907,0.2738483250141144,90.56999969482422,99.77999877929688,8533,2202570,1095745,53.49311065673828
14,0.20715151727199554,0.266700804233551,91.18999481201172,99.87999725341797,8533,2202570,1095745,53.06420660018921
15,0.20697173476219177,0.2701253592967987,91.02999877929688,99.7699966430664,8533,2202570,1106835,52.963674783706665
16,0.1957426518201828,0.2491813749074936,91.62999725341797,99.79000091552734,8533,2202570,1095745,51.61780309677124
17,0.19103802740573883,0.2527073323726654,91.37999725341797,99.81999969482422,8533,2202570,1106835,49.70221471786499
18,0.18009527027606964,0.2965085208415985,90.43999481201172,99.73999786376953,8533,2202570,1095745,51.42829346656799
19,0.17173004150390625,0.24808655679225922,91.65999603271484,99.82999420166016,8533,2202570,1095745,53.47477865219116
20,0.16169829666614532,0.2598268389701843,91.29999542236328,99.80999755859375,8533,2202570,1095745,53.484455823898315
21,0.16047564148902893,0.24006137251853943,92.15999603271484,99.83999633789062,8533,2202570,1095745,53.267186403274536
22,0.15157614648342133,0.24395610392093658,91.90999603271484,99.8499984741211,8533,2202570,1095745,53.03757619857788
23,0.14653871953487396,0.24454696476459503,91.9000015258789,99.83999633789062,8533,2202570,1095745,52.79731845855713
24,0.14169634878635406,0.24007034301757812,92.25,99.83999633789062,8533,2202570,1095745,52.62091541290283
25,0.14012300968170166,0.2597176134586334,91.75,99.8499984741211,8533,2202570,1095745,52.824724435806274
26,0.1343735009431839,0.23191630840301514,92.29000091552734,99.90999603271484,8533,2202570,1106835,52.6732919216156
